Temp,Type,NutCon,O2,Load
25,C,2.22,13.7,8793
18,H,8.61,6.7,6682611
15,C,2.5,15.2,1094
25,H,9.28,12.3,14833
25,C,6.66,10.3,1967
25,C,3.32,20.2,243
25,H,10.3,5,90041
25,C,4.45,9.6,3921
25,C,3.28,10,1273
25,H,7.38,6.7,38563
25,C,5.45,10.7,3529
10,C,0.71,7.7,3140
12,C,0.62,8.3,2322
13,C,0.3,21.2,31
19,C,1.1,5.5,68813
28,C,1.1,16.8,18064
28,C,0.76,16.5,627
28,C,0.64,13.4,3010
27,C,2.89,29.6,211784
25,C,2.32,17.4,4258624
20,C,1.44,7.2,55898
27,C,1.82,17.9,35429
24,C,0.64,22.6,1242
16,C,0.44,33.4,150
24,C,1.28,23.1,25815
27,H,16.9,4.3,17538211
27,H,11.5,8.8,4092675
24,C,3.19,75.7,8483063
12,C,1.01,13.7,787
12,C,1.93,11.7,2067
12,C,0.58,14.2,388
12,C,0.94,13,710
